Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
35,35012,Brampton West,93140,3479076000 ,3241291000 ,3155336000 ,,,,,,,,,,,,,,,,,,
35,35013,Brantford--Brant,101300,4222021000 ,3905504000 ,3754757000 ,,,,,,,,,,,,,,,,,,
35,35014,Bruce--Grey--Owen Sound,85530,3560343000 ,3277911000 ,3139631000 ,,,,,,,,,,,,,,,,,,
35,35015,Burlington,99130,6142008000 ,5621874000 ,5515817000 ,,,,,,,,,,,,,,,,,,
35,35016,Cambridge,89490,4106068000 ,3818152000 ,3703459000 ,,,,,,,,,,,,,,,,,,
35,35017,Chatham-Kent--Leamington,99350,3860368000 ,3604234000 ,3396409000 ,,,,,,,,,,,,,,,,,,
35,35018,Davenport,82920,3365999000 ,3139221000 ,3010422000 ,,,,,,,,,,,,,,,,,,
35,35019,Don Valley East,74130,3512085000 ,3259814000 ,3135485000 ,,,,,,,,,,,,,,,,,,
35,35020,Don Valley North,91440,3940288000 ,3616132000 ,3497640000 ,,,,,,,,,,,,,,,,,,
35,35021,Don Valley West,77860,8818703000 ,8223170000 ,7954418000 ,,,,,,,,,,,,,,,,,,
35,35022,Dufferin--Caledon,99390,5414112000 ,4979529000 ,4867994000 ,,,,,,,,,,,,,,,,,,
35,35023,Durham,98900,5134989000 ,4687628000 ,4608001000 ,,,,,,,,,,,,,,,,,,
35,35024,Eglinton--Lawrence,87330,7519241000 ,6971022000 ,6772380000 ,,,,,,,,,,,,,,,,,,
35,35025,Elgin--Middlesex--London,89400,4003397000 ,3692641000 ,3557247000 ,,,,,,,,,,,,,,,,,,
35,35026,Essex,96040,5120255000 ,4704902000 ,4586949000 ,,,,,,,,,,,,,,,,,,
35,35027,Etobicoke Centre,94070,5884595000 ,5420749000 ,5270485000 ,,,,,,,,,,,,,,,,,,
35,35028,Etobicoke--Lakeshore,99610,6125395000 ,5649477000 ,5488633000 ,,,,,,,,,,,,,,,,,,
35,35029,Etobicoke North,92570,2787741000 ,2628253000 ,2455705000 ,,,,,,,,,,,,,,,,,,
35,35030,Flamborough--Glanbrook,80620,4364225000 ,3998085000 ,3919938000 ,,,,,,,,,,,,,,,,,,
35,35031,Glengarry--Prescott--Russell,89130,4236639000 ,3863527000 ,3730824000 ,,,,,,,,,,,,,,,,,,
35,35032,Guelph,102110,5100968000 ,4690046000 ,4581091000 ,,,,,,,,,,,,,,,,,,
35,35033,Haldimand--Norfolk,87620,3733959000 ,3441484000 ,3316312000 ,,,,,,,,,,,,,,,,,,
35,35034,Haliburton--Kawartha Lakes--Brock,90630,3878878000 ,3559856000 ,3436514000 ,,,,,,,,,,,,,,,,,,
35,35035,Hamilton Centre,75470,2605062000 ,2444816000 ,2249621000 ,,,,,,,,,,,,,,,,,,
35,35036,Hamilton East--Stoney Creek,86250,3467115000 ,3227125000 ,3090450000 ,,,,,,,,,,,,,,,,,,
35,35037,Hamilton Mountain,83280,3278411000 ,3039267000 ,2925454000 ,,,,,,,,,,,,,,,,,,
35,35038,Hamilton West--Ancaster--Dundas,86880,4813703000 ,4379427000 ,4289032000 ,,,,,,,,,,,,,,,,,,
35,35039,Hastings--Lennox and Addington,84010,3428259000 ,3147372000 ,3011493000 ,,,,,,,,,,,,,,,,,,
35,35040,Huron--Bruce,81810,4025665000 ,3695867000 ,3548982000 ,,,,,,,,,,,,,,,,,,
35,35041,Kanata--Carleton,82520,5087753000 ,4580958000 ,4499771000 ,,,,,,,,,,,,,,,,,,
35,35042,Kenora,46030,1743808000 ,1609273000 ,1529081000 ,,,,,,,,,,,,,,,,,,
35,35043,King--Vaughan,98060,5710418000 ,5271649000 ,5139705000 ,,,,,,,,,,,,,,,,,,
35,35044,Kingston and the Islands,89650,4374190000 ,3978259000 ,3848397000 ,,,,,,,,,,,,,,,,,,
35,35045,Kitchener Centre,81040,3423610000 ,3180260000 ,3057848000 ,,,,,,,,,,,,,,,,,,
35,35046,Kitchener--Conestoga,72070,3704929000 ,3401523000 ,3328348000 ,,,,,,,,,,,,,,,,,,
35,35047,Kitchener South--Hespeler,80310,3871166000 ,3581151000 ,3488830000 ,,,,,,,,,,,,,,,,,,
35,35048,Lambton--Kent--Middlesex,81160,3719336000 ,3423286000 ,3266036000 ,,,,,,,,,,,,,,,,,,
35,35049,Lanark--Frontenac--Kingston,79320,3688384000 ,3367550000 ,3263382000 ,,,,,,,,,,,,,,,,,,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,82870,3742355000 ,3431348000 ,3312563000 ,,,,,,,,,,,,,,,,,,
35,35051,London--Fanshawe,91330,3308783000 ,3090036000 ,2942966000 ,,,,,,,,,,,,,,,,,,
35,35052,London North Centre,94930,4637372000 ,4255686000 ,4096037000 ,,,,,,,,,,,,,,,,,,
35,35053,London West,97450,4967751000 ,4527548000 ,4401771000 ,,,,,,,,,,,,,,,,,,
35,35054,Markham--Stouffville,95520,5068428000 ,4608341000 ,4506995000 ,,,,,,,,,,,,,,,,,,
35,35055,Markham--Thornhill,85150,3444691000 ,3172733000 ,3055665000 ,,,,,,,,,,,,,,,,,,
35,35056,Markham--Unionville,97470,4896802000 ,4473472000 ,4348841000 ,,,,,,,,,,,,,,,,,,
35,35057,Milton,78960,4345493000 ,3995415000 ,3925346000 ,,,,,,,,,,,,,,,,,,
35,35058,Mississauga Centre,100830,3842675000 ,3563426000 ,3451194000 ,,,,,,,,,,,,,,,,,,
